TOP PARENT,PARENT-CATEGORY,CATEGORY-NAME,CATEGORY-ID-NUMBER (SHORT-CODE),DESCRIPTION
IT,IT,Digital Product Management,CAT-ITD-PM,"<p><strong>Digital Product Management</strong></p><p>Digital Product Management learning and development for Information Technology and Digital contexts.</p><p><strong>Typical subjects or topics:</strong> Discovery, roadmaps, metrics, experimentation, product operations</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Digital%20Product%20Management"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Digital Product Management</a></p>"
IT,IT,Blockchain and Distributed Systems,CAT-ITD-BC,"<p><strong>Blockchain and Distributed Systems</strong></p><p>Blockchain and Distributed Systems learning and development for Information Technology and Digital contexts.</p><p><strong>Typical subjects or topics:</strong> Distributed ledgers, smart contracts, decentralized applications</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Blockchain%20and%20Distributed%20Systems"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Blockchain and Distributed Systems</a></p>"
IT,IT,Internet of Things and Embedded Systems,CAT-ITD-IOT,"<p><strong>Internet of Things and Embedded Systems</strong></p><p>Internet of Things and Embedded Systems learning and development for Information Technology and Digital contexts.</p><p><strong>Typical subjects or topics:</strong> Sensors, embedded programming, connectivity, edge systems</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Internet%20of%20Things%20and%20Embedded%20Systems"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Internet of Things and Embedded Systems</a></p>"
IT,IT,"AR, VR and Spatial Computing",CAT-ITD-XR,"<p><strong>AR, VR and Spatial Computing</strong></p><p>AR, VR and Spatial Computing learning and development for Information Technology and Digital contexts.</p><p><strong>Typical subjects or topics:</strong> Immersive design, 3D interaction, simulation, spatial applications</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=AR%2C%20VR%20and%20Spatial%20Computing"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: AR, VR and Spatial Computing</a></p>"
"Banking, Financial Services and Insurance",Organization,"Banking, Financial Services and Insurance",CAT-BFS,"<p><strong>Banking, Financial Services and Insurance</strong></p><p>Financial services, accounting, investment, insurance, risk and fintech</p><p><strong>Typical subjects or topics:</strong> Accounting and Bookkeeping, Corporate Finance and Treasury, Banking Operations, Investment and Capital Markets, Insurance, Risk Management, Audit and Assurance, Taxation, AML, KYC and Financial Crime, FinTech and Digital Payments, Microfinance and Financial Inclusion</p><p><strong>Recommended course structure:</strong> Domain / specialization / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Banking%2C%20Financial%20Services%20and%20Insurance"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Banking, Financial Services and Insurance</a></p>"
"Banking, Financial Services and Insurance","Banking, Financial Services and Insurance",Accounting and Bookkeeping,CAT-BFS-AC,"<p><strong>Accounting and Bookkeeping</strong></p><p>Accounting and Bookkeeping learning and development for Banking, Financial Services and Insurance contexts.</p><p><strong>Typical subjects or topics:</strong> Financial accounting, ledgers, reporting, closing, accounting systems</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Accounting%20and%20Bookkeeping"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Accounting and Bookkeeping</a></p>"
"Banking, Financial Services and Insurance","Banking, Financial Services and Insurance",Corporate Finance and Treasury,CAT-BFS-FIN,"<p><strong>Corporate Finance and Treasury</strong></p><p>Corporate Finance and Treasury learning and development for Banking, Financial Services and Insurance contexts.</p><p><strong>Typical subjects or topics:</strong> Budgeting, valuation, capital, cash, treasury, financial planning</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Corporate%20Finance%20and%20Treasury"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Corporate Finance and Treasury</a></p>"
"Banking, Financial Services and Insurance","Banking, Financial Services and Insurance",Banking Operations,CAT-BFS-BNK,"<p><strong>Banking Operations</strong></p><p>Banking Operations learning and development for Banking, Financial Services and Insurance contexts.</p><p><strong>Typical subjects or topics:</strong> Retail banking, commercial banking, lending, payments, branch operations</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Banking%20Operations"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Banking Operations</a></p>"
"Banking, Financial Services and Insurance","Banking, Financial Services and Insurance",Investment and Capital Markets,CAT-BFS-INV,"<p><strong>Investment and Capital Markets</strong></p><p>Investment and Capital Markets learning and development for Banking, Financial Services and Insurance contexts.</p><p><strong>Typical subjects or topics:</strong> Securities, portfolio management, research, trading, market operations</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Investment%20and%20Capital%20Markets"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Investment and Capital Markets</a></p>"
"Banking, Financial Services and Insurance","Banking, Financial Services and Insurance",Insurance,CAT-BFS-INS,"<p><strong>Insurance</strong></p><p>Insurance learning and development for Banking, Financial Services and Insurance contexts.</p><p><strong>Typical subjects or topics:</strong> Life, health, property, casualty, underwriting, claims, distribution</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Insurance"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Insurance</a></p>"
"Banking, Financial Services and Insurance","Banking, Financial Services and Insurance",Risk Management,CAT-BFS-RISK,"<p><strong>Risk Management</strong></p><p>Risk Management learning and development for Banking, Financial Services and Insurance contexts.</p><p><strong>Typical subjects or topics:</strong> Credit, market, liquidity, operational and enterprise risk</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Risk%20Management"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Risk Management</a></p>"
"Banking, Financial Services and Insurance","Banking, Financial Services and Insurance",Audit and Assurance,CAT-BFS-AUD,"<p><strong>Audit and Assurance</strong></p><p>Audit and Assurance learning and development for Banking, Financial Services and Insurance contexts.</p><p><strong>Typical subjects or topics:</strong> Internal audit, external audit, controls, evidence, assurance reporting</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Audit%20and%20Assurance"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Audit and Assurance</a></p>"
"Banking, Financial Services and Insurance","Banking, Financial Services and Insurance",Taxation,CAT-BFS-TAX,"<p><strong>Taxation</strong></p><p>Taxation learning and development for Banking, Financial Services and Insurance contexts.</p><p><strong>Typical subjects or topics:</strong> Direct and indirect tax, compliance, planning, transfer pricing</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Taxation"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Taxation</a></p>"
"Banking, Financial Services and Insurance","Banking, Financial Services and Insurance","AML, KYC and Financial Crime",CAT-BFS-AML,"<p><strong>AML, KYC and Financial Crime</strong></p><p>AML, KYC and Financial Crime learning and development for Banking, Financial Services and Insurance contexts.</p><p><strong>Typical subjects or topics:</strong> Customer due diligence, sanctions, transaction monitoring, investigations</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=AML%2C%20KYC%20and%20Financial%20Crime"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: AML, KYC and Financial Crime</a></p>"
"Banking, Financial Services and Insurance","Banking, Financial Services and Insurance",FinTech and Digital Payments,CAT-BFS-FINTECH,"<p><strong>FinTech and Digital Payments</strong></p><p>FinTech and Digital Payments learning and development for Banking, Financial Services and Insurance contexts.</p><p><strong>Typical subjects or topics:</strong> Payment systems, digital banking, open finance, regtech</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=FinTech%20and%20Digital%20Payments"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: FinTech and Digital Payments</a></p>"
"Banking, Financial Services and Insurance","Banking, Financial Services and Insurance",Microfinance and Financial Inclusion,CAT-BFS-MIC,"<p><strong>Microfinance and Financial Inclusion</strong></p><p>Microfinance and Financial Inclusion learning and development for Banking, Financial Services and Insurance contexts.</p><p><strong>Typical subjects or topics:</strong> Microcredit, savings, inclusion, community finance</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Microfinance%20and%20Financial%20Inclusion"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Microfinance and Financial Inclusion</a></p>"
Healthcare and Life Sciences,Organization,Healthcare and Life Sciences,CAT-HLT,"<p><strong>Healthcare and Life Sciences</strong></p><p>Clinical, allied health, public health, pharmaceuticals, biotechnology and health administration</p><p><strong>Typical subjects or topics:</strong> Medicine and Clinical Practice, Nursing and Midwifery, Allied Health Professions, Emergency Medical Services, Public and Community Health, Healthcare Administration, Pharmaceutical Sciences and Practice, Biotechnology and Biosciences, Clinical Research, Mental and Behavioral Health, Infection Prevention and Control, Digital Health and Health Informatics, Geriatric and Long-Term Care, Nutrition and Dietetics</p><p><strong>Recommended course structure:</strong> Domain / specialization / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Healthcare%20and%20Life%20Sciences"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Healthcare and Life Sciences</a></p>"
Healthcare and Life Sciences,Healthcare and Life Sciences,Medicine and Clinical Practice,CAT-HLT-MED,"<p><strong>Medicine and Clinical Practice</strong></p><p>Medicine and Clinical Practice learning and development for Healthcare and Life Sciences contexts.</p><p><strong>Typical subjects or topics:</strong> Diagnosis, treatment, clinical reasoning, specialties, patient safety</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Medicine%20and%20Clinical%20Practice"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Medicine and Clinical Practice</a></p>"
Healthcare and Life Sciences,Healthcare and Life Sciences,Nursing and Midwifery,CAT-HLT-NUR,"<p><strong>Nursing and Midwifery</strong></p><p>Nursing and Midwifery learning and development for Healthcare and Life Sciences contexts.</p><p><strong>Typical subjects or topics:</strong> Nursing practice, maternal care, clinical skills, documentation</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Nursing%20and%20Midwifery"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Nursing and Midwifery</a></p>"
Healthcare and Life Sciences,Healthcare and Life Sciences,Allied Health Professions,CAT-HLT-AHP,"<p><strong>Allied Health Professions</strong></p><p>Allied Health Professions learning and development for Healthcare and Life Sciences contexts.</p><p><strong>Typical subjects or topics:</strong> Physiotherapy, occupational therapy, imaging, laboratory, rehabilitation</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Allied%20Health%20Professions"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Allied Health Professions</a></p>"
Healthcare and Life Sciences,Healthcare and Life Sciences,Emergency Medical Services,CAT-HLT-EMS,"<p><strong>Emergency Medical Services</strong></p><p>Emergency Medical Services learning and development for Healthcare and Life Sciences contexts.</p><p><strong>Typical subjects or topics:</strong> First response, triage, pre-hospital care, resuscitation</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Emergency%20Medical%20Services"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Emergency Medical Services</a></p>"
Healthcare and Life Sciences,Healthcare and Life Sciences,Public and Community Health,CAT-HLT-PH,"<p><strong>Public and Community Health</strong></p><p>Public and Community Health learning and development for Healthcare and Life Sciences contexts.</p><p><strong>Typical subjects or topics:</strong> Epidemiology, prevention, health promotion, community programs</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Public%20and%20Community%20Health"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Public and Community Health</a></p>"
Healthcare and Life Sciences,Healthcare and Life Sciences,Healthcare Administration,CAT-HLT-MHA,"<p><strong>Healthcare Administration</strong></p><p>Healthcare Administration learning and development for Healthcare and Life Sciences contexts.</p><p><strong>Typical subjects or topics:</strong> Hospital operations, health information, revenue cycle, quality</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Healthcare%20Administration"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Healthcare Administration</a></p>"
Healthcare and Life Sciences,Healthcare and Life Sciences,Pharmaceutical Sciences and Practice,CAT-HLT-PHA,"<p><strong>Pharmaceutical Sciences and Practice</strong></p><p>Pharmaceutical Sciences and Practice learning and development for Healthcare and Life Sciences contexts.</p><p><strong>Typical subjects or topics:</strong> Drug development, manufacturing, dispensing, pharmacovigilance</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Pharmaceutical%20Sciences%20and%20Practice"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Pharmaceutical Sciences and Practice</a></p>"
Healthcare and Life Sciences,Healthcare and Life Sciences,Biotechnology and Biosciences,CAT-HLT-BI,"<p><strong>Biotechnology and Biosciences</strong></p><p>Biotechnology and Biosciences learning and development for Healthcare and Life Sciences contexts.</p><p><strong>Typical subjects or topics:</strong> Molecular biology, bioprocessing, bioinformatics, laboratory practice</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Biotechnology%20and%20Biosciences"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Biotechnology and Biosciences</a></p>"
Healthcare and Life Sciences,Healthcare and Life Sciences,Clinical Research,CAT-HLT-CR,"<p><strong>Clinical Research</strong></p><p>Clinical Research learning and development for Healthcare and Life Sciences contexts.</p><p><strong>Typical subjects or topics:</strong> Trial design, good clinical practice, data, monitoring, ethics</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Clinical%20Research"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Clinical Research</a></p>"
Healthcare and Life Sciences,Healthcare and Life Sciences,Mental and Behavioral Health,CAT-HLT-MHS,"<p><strong>Mental and Behavioral Health</strong></p><p>Mental and Behavioral Health learning and development for Healthcare and Life Sciences contexts.</p><p><strong>Typical subjects or topics:</strong> Psychology, psychiatry, counselling, substance use, crisis support</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Mental%20and%20Behavioral%20Health"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Mental and Behavioral Health</a></p>"
Healthcare and Life Sciences,Healthcare and Life Sciences,Infection Prevention and Control,CAT-HLT-IPC,"<p><strong>Infection Prevention and Control</strong></p><p>Infection Prevention and Control learning and development for Healthcare and Life Sciences contexts.</p><p><strong>Typical subjects or topics:</strong> Standard precautions, surveillance, sterilization, outbreak response</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Infection%20Prevention%20and%20Control"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Infection Prevention and Control</a></p>"
Healthcare and Life Sciences,Healthcare and Life Sciences,Digital Health and Health Informatics,CAT-HLT-DHS,"<p><strong>Digital Health and Health Informatics</strong></p><p>Digital Health and Health Informatics learning and development for Healthcare and Life Sciences contexts.</p><p><strong>Typical subjects or topics:</strong> Electronic health records, telehealth, interoperability, analytics</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Digital%20Health%20and%20Health%20Informatics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Digital Health and Health Informatics</a></p>"
Healthcare and Life Sciences,Healthcare and Life Sciences,Geriatric and Long-Term Care,CAT-HLT-GER,"<p><strong>Geriatric and Long-Term Care</strong></p><p>Geriatric and Long-Term Care learning and development for Healthcare and Life Sciences contexts.</p><p><strong>Typical subjects or topics:</strong> Ageing, dementia care, rehabilitation, palliative and residential care</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Geriatric%20and%20Long-Term%20Care"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Geriatric and Long-Term Care</a></p>"
Healthcare and Life Sciences,Healthcare and Life Sciences,Nutrition and Dietetics,CAT-HLT-NUT,"<p><strong>Nutrition and Dietetics</strong></p><p>Nutrition and Dietetics learning and development for Healthcare and Life Sciences contexts.</p><p><strong>Typical subjects or topics:</strong> Clinical nutrition, community nutrition, food service, diet counselling</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Nutrition%20and%20Dietetics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Nutrition and Dietetics</a></p>"
Engineering and Manufacturing,Organization,Engineering and Manufacturing,CAT-EN,"<p><strong>Engineering and Manufacturing</strong></p><p>Engineering disciplines, industrial production, maintenance, quality and advanced manufacturing</p><p><strong>Typical subjects or topics:</strong> Civil Engineering, Mechanical Engineering, Electrical Engineering, Electronics and Communication Engineering, Chemical and Process Engineering, Industrial and Systems Engineering, Manufacturing Operations, Maintenance and Reliability, Quality Management, Automation and Robotics, Materials and Metallurgy, Aerospace Engineering, Marine and Naval Engineering, Biomedical Engineering</p><p><strong>Recommended course structure:</strong> Domain / specialization / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Engineering%20and%20Manufacturing"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Engineering and Manufacturing</a></p>"
Engineering and Manufacturing,Engineering and Manufacturing,Civil Engineering,CAT-EN-CIV,"<p><strong>Civil Engineering</strong></p><p>Civil Engineering learning and development for Engineering and Manufacturing contexts.</p><p><strong>Typical subjects or topics:</strong> Structures, geotechnical, transportation, water, surveying, construction</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Civil%20Engineering"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Civil Engineering</a></p>"
Engineering and Manufacturing,Engineering and Manufacturing,Mechanical Engineering,CAT-EN-MEC,"<p><strong>Mechanical Engineering</strong></p><p>Mechanical Engineering learning and development for Engineering and Manufacturing contexts.</p><p><strong>Typical subjects or topics:</strong> Mechanics, thermodynamics, design, machines, manufacturing</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Mechanical%20Engineering"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Mechanical Engineering</a></p>"
Engineering and Manufacturing,Engineering and Manufacturing,Electrical Engineering,CAT-EN-EL,"<p><strong>Electrical Engineering</strong></p><p>Electrical Engineering learning and development for Engineering and Manufacturing contexts.</p><p><strong>Typical subjects or topics:</strong> Circuits, power systems, machines, protection, controls</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Electrical%20Engineering"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Electrical Engineering</a></p>"
Engineering and Manufacturing,Engineering and Manufacturing,Electronics and Communication Engineering,CAT-EN-ECE,"<p><strong>Electronics and Communication Engineering</strong></p><p>Electronics and Communication Engineering learning and development for Engineering and Manufacturing contexts.</p><p><strong>Typical subjects or topics:</strong> Electronics, signals, communications, embedded systems</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Electronics%20and%20Communication%20Engineering"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Electronics and Communication Engineering</a></p>"
Engineering and Manufacturing,Engineering and Manufacturing,Chemical and Process Engineering,CAT-EN-CH,"<p><strong>Chemical and Process Engineering</strong></p><p>Chemical and Process Engineering learning and development for Engineering and Manufacturing contexts.</p><p><strong>Typical subjects or topics:</strong> Process design, operations, reactions, separations, safety</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Chemical%20and%20Process%20Engineering"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Chemical and Process Engineering</a></p>"
Engineering and Manufacturing,Engineering and Manufacturing,Industrial and Systems Engineering,CAT-EN-IND,"<p><strong>Industrial and Systems Engineering</strong></p><p>Industrial and Systems Engineering learning and development for Engineering and Manufacturing contexts.</p><p><strong>Typical subjects or topics:</strong> Operations research, systems, productivity, ergonomics</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Industrial%20and%20Systems%20Engineering"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Industrial and Systems Engineering</a></p>"
Engineering and Manufacturing,Engineering and Manufacturing,Manufacturing Operations,CAT-EN-MFG,"<p><strong>Manufacturing Operations</strong></p><p>Manufacturing Operations learning and development for Engineering and Manufacturing contexts.</p><p><strong>Typical subjects or topics:</strong> Production, machining, assembly, planning, shop-floor systems</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Manufacturing%20Operations"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Manufacturing Operations</a></p>"
Engineering and Manufacturing,Engineering and Manufacturing,Maintenance and Reliability,CAT-EN-MNT,"<p><strong>Maintenance and Reliability</strong></p><p>Maintenance and Reliability learning and development for Engineering and Manufacturing contexts.</p><p><strong>Typical subjects or topics:</strong> Preventive, predictive and corrective maintenance, reliability</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Maintenance%20and%20Reliability"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Maintenance and Reliability</a></p>"
Engineering and Manufacturing,Engineering and Manufacturing,Quality Management,CAT-EN-QA,"<p><strong>Quality Management</strong></p><p>Quality Management learning and development for Engineering and Manufacturing contexts.</p><p><strong>Typical subjects or topics:</strong> Quality planning, inspection, statistical control, continuous improvement</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Quality%20Management"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Quality Management</a></p>"
Engineering and Manufacturing,Engineering and Manufacturing,Automation and Robotics,CAT-EN-ROB,"<p><strong>Automation and Robotics</strong></p><p>Automation and Robotics learning and development for Engineering and Manufacturing contexts.</p><p><strong>Typical subjects or topics:</strong> Industrial automation, PLC, robotics, machine vision, controls</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Automation%20and%20Robotics"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Automation and Robotics</a></p>"
Engineering and Manufacturing,Engineering and Manufacturing,Materials and Metallurgy,CAT-EN-MA,"<p><strong>Materials and Metallurgy</strong></p><p>Materials and Metallurgy learning and development for Engineering and Manufacturing contexts.</p><p><strong>Typical subjects or topics:</strong> Metals, polymers, ceramics, composites, testing, failure analysis</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Materials%20and%20Metallurgy"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Materials and Metallurgy</a></p>"
Engineering and Manufacturing,Engineering and Manufacturing,Aerospace Engineering,CAT-EN-AER,"<p><strong>Aerospace Engineering</strong></p><p>Aerospace Engineering learning and development for Engineering and Manufacturing contexts.</p><p><strong>Typical subjects or topics:</strong> Aerodynamics, structures, propulsion, avionics, airworthiness</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Aerospace%20Engineering"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Aerospace Engineering</a></p>"
Engineering and Manufacturing,Engineering and Manufacturing,Marine and Naval Engineering,CAT-EN-MAR,"<p><strong>Marine and Naval Engineering</strong></p><p>Marine and Naval Engineering learning and development for Engineering and Manufacturing contexts.</p><p><strong>Typical subjects or topics:</strong> Ships, marine systems, naval architecture, offshore engineering</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Marine%20and%20Naval%20Engineering"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Marine and Naval Engineering</a></p>"
Engineering and Manufacturing,Engineering and Manufacturing,Biomedical Engineering,CAT-EN-BI,"<p><strong>Biomedical Engineering</strong></p><p>Biomedical Engineering learning and development for Engineering and Manufacturing contexts.</p><p><strong>Typical subjects or topics:</strong> Medical devices, biomechanics, instrumentation, regulatory design</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Biomedical%20Engineering"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Biomedical Engineering</a></p>"
"Agriculture, Forestry and Fisheries",Organization,"Agriculture, Forestry and Fisheries",CAT-AGR,"<p><strong>Agriculture, Forestry and Fisheries</strong></p><p>Primary production, agribusiness, natural-resource stewardship and food systems</p><p><strong>Typical subjects or topics:</strong> Crop Production and Agronomy, Horticulture, Soil and Water Management, Livestock and Dairy, Veterinary Field Services, Agribusiness and Extension, Forestry and Conservation, Fisheries and Aquaculture, Food Science and Processing, Agricultural Technology</p><p><strong>Recommended course structure:</strong> Domain / specialization / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Agriculture%2C%20Forestry%20and%20Fisheries"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Agriculture, Forestry and Fisheries</a></p>"
"Agriculture, Forestry and Fisheries","Agriculture, Forestry and Fisheries",Crop Production and Agronomy,CAT-AGR-CROP,"<p><strong>Crop Production and Agronomy</strong></p><p>Crop Production and Agronomy learning and development for Agriculture, Forestry and Fisheries contexts.</p><p><strong>Typical subjects or topics:</strong> Field crops, agronomy, irrigation, crop nutrition, precision farming</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Crop%20Production%20and%20Agronomy"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Crop Production and Agronomy</a></p>"
"Agriculture, Forestry and Fisheries","Agriculture, Forestry and Fisheries",Horticulture,CAT-AGR-HORT,"<p><strong>Horticulture</strong></p><p>Horticulture learning and development for Agriculture, Forestry and Fisheries contexts.</p><p><strong>Typical subjects or topics:</strong> Fruits, vegetables, floriculture, protected cultivation, post-harvest</p><p><strong>Recommended course structure:</strong> Domain / competency / module courses</p><p><a href=""https://en.wikipedia.org/wiki/Special:Search?search=Horticulture"" target=""_blank"" rel=""noopener noreferrer"">Wikipedia reference: Horticulture</a></p>"
